id,client_id,product_id,sale_date,quantity,total_amount
0,42,105,2023-09-10,11,3405.00
1,3,136,2024-09-15,9,16873.90
2,25,139,2024-08-13,7,9475.30
4,20,23,2023-02-03,5,55893.00
5,8,57,2024-02-12,4,451403.90
6,36,52,2023-09-26,3,39056.40
8,27,25,2024-02-28,3,34560.05
9,37,26,2023-11-07,7,114932.90
10,31,143,2024-08-25,3,12643.55
11,39,128,2023-05-07,5,23254.00
12,27,48,2024-07-29,13,191573.00
13,43,19,2024-04-28,2,31221.75
14,13,125,2024-05-06,15,48479.45
15,17,14,2023-10-14,3,102061.35
16,39,45,2024-10-07,2,18816.65
17,43,91,2023-09-05,11,1409558.70
18,25,27,2024-11-28,3,47057.30
19,37,100,2023-07-16,2,198740.00
20,39,56,2024-11-27,12,490071.75
21,17,71,2024-12-04,3,390522.00
22,29,20,2024-11-04,2,61667.00
23,7,132,2023-02-04,15,23445.00
24,45,128,2023-05-09,12,55809.00
25,8,3,2024-02-04,2,18048.00
26,19,147,2024-05-10,14,40299.95
27,23,97,2023-04-15,4,541340.00
28,41,60,2023-03-20,12,1239762.35
29,26,109,2024-03-24,7,4359.00
30,38,35,2023-07-18,15,165083.00
31,41,91,2023-03-20,13,1665842.10
32,43,40,2023-11-02,11,156024.00
33,4,92,2023-07-26,8,710833.00
34,28,73,2023-11-05,3,429480.00
35,33,35,2024-04-02,10,110055.00
36,18,136,2023-11-24,7,13123.30
37,24,32,2023-08-29,13,162532.00
38,38,87,2024-04-30,9,601739.00
39,13,71,2024-10-16,8,989322.40
40,27,116,2023-09-09,5,12878.00
41,46,34,2024-06-04,3,14753.00
42,1,6,2023-08-12,12,141843.00
43,11,70,2023-08-10,14,480976.00
44,39,81,2024-12-03,8,928328.60
45,22,149,2024-09-12,11,12160.00
46,25,120,2023-12-15,5,15622.00
47,4,60,2024-02-04,15,1631266.00
48,13,54,2024-05-30,15,1823022.00
49,14,74,2024-08-29,7,575614.50
50,8,19,2023-12-26,15,246485.00
51,2,52,2024-08-28,4,54816.00
52,45,106,2024-03-16,13,57003.00
53,2,25,2024-03-10,12,145518.00
54,27,144,2024-09-30,4,8857.00
55,35,54,2024-11-24,3,346373.80
56,1,125,2024-03-11,13,44227.00
57,40,110,2023-07-17,11,27451.00
58,46,45,2024-08-22,2,19807.00
60,11,49,2024-03-20,14,176415.00
61,28,56,2024-09-05,8,326714.50
62,10,113,2024-05-18,15,62627.80
63,43,42,2024-01-27,15,85398.35
64,24,106,2023-10-17,13,57003.00
65,21,4,2024-10-14,7,22489.35
66,33,114,2024-10-12,9,7194.00
67,18,85,2024-02-04,3,109949.20
68,43,139,2024-01-16,9,12824.00
69,34,139,2023-09-18,8,11399.00
70,4,98,2023-08-13,13,980110.25
71,43,70,2023-09-09,5,163188.15
72,16,48,2024-08-10,2,29473.00
73,24,10,2024-12-20,3,91294.05
74,45,54,2024-09-25,11,1270038.85
75,38,91,2024-09-21,10,1348860.00
76,28,18,2024-03-07,14,353413.30
77,6,110,2024-12-13,2,4741.45
78,43,105,2024-08-13,7,2167.00
79,10,12,2024-12-31,13,35440.00
80,46,13,2024-03-06,6,46483.00
81,28,82,2024-04-11,10,490523.00
82,33,32,2024-07-11,9,106895.90
83,17,123,2023-04-03,5,13190.75
84,25,35,2023-05-01,1,10455.70
85,18,80,2024-09-05,7,904567.00
86,15,145,2023-06-02,8,34799.00
87,7,20,2023-11-24,14,431668.00
88,29,147,2024-03-11,5,15150.00
89,30,75,2023-12-21,8,262147.00
90,2,72,2024-07-22,3,284044.30
91,23,36,2023-01-06,15,339021.00
92,40,2,2023-04-19,7,93087.65
93,37,113,2023-01-11,11,45927.75
94,36,90,2023-08-02,8,632779.00
95,25,131,2024-12-17,12,11563.00
96,11,82,2023-08-22,8,392418.40
97,25,48,2024-09-18,2,29473.00
98,21,142,2024-02-13,2,1570.35
99,49,81,2024-01-06,9,1099336.00
100,22,93,2023-01-21,4,381812.60
101,11,47,2024-07-04,8,48984.00
102,9,67,2024-02-02,9,733495.95
103,36,146,2023-04-12,5,2356.00
104,11,24,2024-03-02,11,242776.30
105,23,77,2023-10-31,6,254816.60
106,48,143,2023-03-29,8,35491.00
107,38,98,2024-08-10,8,634889.00
108,4,139,2023-01-19,6,8121.55
109,39,96,2024-09-18,7,494346.00
110,34,148,2024-10-27,8,38284.00
111,28,32,2023-03-06,10,125025.00
112,37,100,2024-11-12,9,894331.90
113,28,28,2024-06-12,9,121910.65
114,12,75,2023-05-03,5,163842.00
115,27,85,2023-10-08,1,36650.05
116,7,130,2023-03-19,3,11810.40
117,27,18,2023-06-03,3,75731.15
118,18,122,2023-07-22,10,13225.00
119,46,80,2023-08-04,1,129224.00
120,6,81,2023-06-17,15,1832227.00
121,25,132,2024-02-14,13,20319.00
122,8,128,2023-03-09,10,44181.65
123,10,106,2023-06-15,6,24993.55
124,21,43,2023-05-18,3,105291.00
125,44,112,2024-08-23,11,23990.00
126,29,80,2024-07-14,5,613813.05
127,26,55,2024-02-09,7,769910.00
128,1,53,2023-03-24,14,751450.00
129,3,82,2024-02-26,11,567974.00
130,15,123,2024-12-18,2,5554.00
132,3,5,2024-10-15,12,284028.00
133,34,122,2024-11-13,2,2512.75
134,7,18,2023-01-11,7,176706.65
135,14,22,2024-09-26,11,433981.00
136,16,70,2023-03-02,10,343554.00
137,17,62,2024-11-14,5,511110.00
138,45,86,2023-06-11,4,355388.35
139,38,123,2024-12-22,1,2638.15
140,20,83,2024-05-29,5,640318.05
141,29,127,2024-06-15,5,7359.65
142,9,34,2024-12-28,5,24588.00
143,23,142,2024-03-16,5,3925.40
144,27,116,2024-01-15,4,10302.00
145,3,122,2023-10-16,12,15076.50
146,11,70,2023-12-26,10,343554.00
147,24,129,2023-07-01,1,3102.70
148,13,111,2024-09-06,15,61064.10
149,7,57,2024-07-13,1,112851.45
150,5,114,2024-04-06,13,9871.45
151,45,39,2023-12-15,6,177797.00
152,27,82,2023-06-06,8,413072.00
153,48,30,2023-12-30,11,336990.65
154,22,137,2024-02-17,10,32162.25
155,12,21,2024-06-22,9,78611.00
156,11,44,2024-10-22,13,133464.55
157,48,17,2024-04-24,1,13337.05
158,9,138,2024-11-27,5,19869.25
159,24,66,2024-07-03,15,188574.00
160,8,121,2023-05-27,11,40637.00
161,19,126,2024-09-09,8,21416.00
162,12,147,2024-06-25,15,43178.45
163,4,70,2023-03-09,7,228463.60
164,23,9,2023-09-14,5,198528.00
165,23,27,2023-12-28,8,125487.40
166,28,111,2023-02-17,2,8570.00
167,19,122,2024-08-22,11,13819.65
168,48,7,2024-10-05,6,111257.35
169,23,101,2023-01-24,2,927.00
170,16,116,2023-12-30,1,2576.00
171,8,24,2023-12-22,12,278786.00
172,15,123,2023-07-26,13,34296.90
173,13,131,2023-07-25,1,964.00
174,42,16,2023-01-09,6,180036.00
175,19,88,2023-01-28,6,275518.05
176,32,124,2024-11-14,12,45239.00
177,17,69,2023-03-11,4,181060.00
178,6,143,2023-07-10,6,25288.05
179,41,76,2024-09-27,14,1971036.25
180,25,38,2024-05-16,2,52922.00
181,28,127,2023-02-02,11,16190.85
182,7,115,2023-09-06,5,4153.00
183,27,80,2023-04-26,9,1163015.00
184,33,7,2024-03-31,3,55628.20
185,39,27,2023-01-09,7,115580.00
186,14,7,2023-06-23,10,185428.60
187,44,80,2024-09-01,2,245525.60
188,26,117,2024-02-07,10,41030.00
190,24,138,2023-12-18,8,31790.80
191,43,101,2024-11-24,11,5097.00
192,6,148,2024-01-26,9,40916.50
193,7,144,2024-03-01,6,12620.75
194,9,52,2024-06-07,6,82225.00
195,9,81,2023-06-24,14,1710079.00
196,8,74,2023-12-26,9,779027.00
197,2,83,2024-01-29,12,1536764.65
198,38,106,2023-11-14,10,43849.00
199,2,99,2023-10-31,11,1120936.35
200,20,44,2023-10-20,7,71865.60
201,38,79,2023-03-24,11,727615.00
202,27,57,2023-11-05,8,950325.00
203,13,18,2023-01-18,3,79717.00
204,22,138,2024-08-24,8,31790.80
205,41,119,2023-09-25,9,27836.90
