id,id_client,id_product,qtd,total,sale_date,product_id,start_date,usd_price,date,usd_to_brl,custo_unitario_brl,custo_total_brl,lucro,prejuizo
1230,17,91,4,512566.8,2023-01-01,91,2022-03-16,26303.31,2023-01-01,5.2171,137226.9986,548907.9944,-36341.1944,TRUE
8211,14,67,3,257367,2023-01-01,67,2022-06-17,16720.73,2023-01-01,5.2171,87233.72048,261701.1614,-4334.161449,TRUE
666,14,15,5,132524.05,2023-01-01,15,2022-12-06,5325.4,2023-01-01,5.2171,27783.14434,138915.7217,-6391.6717,TRUE
5256,19,78,12,1461139,2023-01-01,78,2022-10-14,23053.04,2023-01-01,5.2171,120270.015,1443240.18,17898.82019,FALSE
3549,10,53,13,662886.25,2023-01-01,53,2022-07-19,9958.63,2023-01-01,5.2171,51955.16857,675417.1914,-12530.94145,TRUE
7765,30,22,2,74960.7,2023-01-01,22,2022-08-22,7630.67,2023-01-01,5.2171,39809.96846,79619.93691,-4659.236914,TRUE
4294,7,44,5,51332.3,2023-01-01,44,2022-01-17,1963.02,2023-01-01,5.2171,10241.27164,51206.35821,125.94179,FALSE
4212,9,96,6,402538.75,2023-01-01,96,2022-09-30,13063.42,2023-01-01,5.2171,68153.16848,408919.0109,-6380.260892,TRUE
3131,28,130,13,53873,2023-01-01,130,2021-03-22,749.89,2023-01-01,5.2171,3912.251119,50859.26455,3013.735453,FALSE
2300,30,95,9,596858.4,2023-01-01,95,2022-11-23,12945.63,2023-01-01,5.2171,67538.64627,607847.8165,-10989.41646,TRUE
4997,23,133,1,1893,2023-01-01,133,2022-07-06,348.47,2023-01-01,5.2171,1818.002837,1818.002837,74.997163,FALSE
4996,24,29,9,328593,2023-01-02,29,2022-03-29,7689.63,2023-01-02,5.343,41085.69309,369771.2378,-41178.23781,TRUE
7899,41,78,7,809714.45,2023-01-02,78,2022-10-14,23053.04,2023-01-02,5.343,123172.3927,862206.749,-52492.29904,TRUE
2602,35,115,8,6312.75,2023-01-02,115,2020-09-11,157.17,2023-01-02,5.343,839.75931,6718.07448,-405.32448,TRUE
4034,5,86,8,710775.75,2023-01-02,86,2021-08-13,17824.79,2023-01-02,5.343,95237.85297,761902.8238,-51127.07376,TRUE
3525,32,133,6,11356,2023-01-02,133,2022-07-06,348.47,2023-01-02,5.343,1861.87521,11171.25126,184.74874,FALSE
9643,22,65,14,357808,2023-01-02,65,2022-06-13,5008.66,2023-01-02,5.343,26761.27038,374657.7853,-16849.78532,TRUE
5239,21,48,14,206309,2023-01-02,48,2020-12-31,2836.04,2023-01-02,5.343,15152.96172,212141.4641,-5832.46408,TRUE
5121,27,61,11,308205,2023-01-02,61,2022-11-04,5564.33,2023-01-02,5.343,29730.21519,327032.3671,-18827.36709,TRUE
7777,26,25,11,126721.45,2023-01-02,25,2022-03-04,2389.36,2023-01-02,5.343,12766.35048,140429.8553,-13708.40528,TRUE
663,39,147,9,25907.45,2023-01-02,147,2022-08-25,592.19,2023-01-02,5.343,3164.07117,28476.64053,-2569.19053,TRUE
4770,28,124,4,14326,2023-01-02,124,2022-12-20,719.16,2023-01-02,5.343,3842.47188,15369.88752,-1043.88752,TRUE
7082,41,140,6,17866.65,2023-01-02,140,2021-02-03,586.81,2023-01-02,5.343,3135.32583,18811.95498,-945.30498,TRUE
4286,33,18,7,176706.65,2023-01-02,18,2022-01-25,4834.43,2023-01-02,5.343,25830.35949,180812.5164,-4105.86643,TRUE
6459,3,91,8,1079088,2023-01-02,91,2022-03-16,26303.31,2023-01-02,5.343,140538.5853,1124308.683,-45220.68264,TRUE
1238,42,149,4,4654,2023-01-02,149,2022-07-11,217.62,2023-01-02,5.343,1162.74366,4650.97464,3.02536,FALSE
8092,34,55,8,879898,2023-01-02,55,2022-04-14,23326.09,2023-01-02,5.343,124631.2989,997050.391,-117152.391,TRUE
3477,18,46,2,9469.6,2023-01-02,46,2022-12-02,959.01,2023-01-02,5.343,5123.99043,10247.98086,-778.38086,TRUE
3932,34,125,9,29088.05,2023-01-02,125,2020-11-17,630.46,2023-01-02,5.343,3368.54778,30316.93002,-1228.88002,TRUE
1767,11,1,1,33123,2023-01-03,1,2022-05-16,6538.2,2023-01-03,5.3753,35144.78646,35144.78646,-2021.78646,TRUE
1832,5,56,1,42989,2023-01-03,56,2022-12-19,8087.59,2023-01-03,5.3753,43473.22253,43473.22253,-484.222527,TRUE
4071,28,84,13,564510,2023-01-03,84,2021-04-28,8041.61,2023-01-03,5.3753,43226.06623,561938.861,2571.138971,FALSE
4010,16,63,13,1728477.5,2023-01-03,63,2021-07-29,27618.14,2023-01-03,5.3753,148455.7879,1929925.243,-201447.7432,TRUE
8897,37,5,12,284028,2023-01-03,5,2022-05-24,4920.79,2023-01-03,5.3753,26450.72249,317408.6698,-33380.66984,TRUE
2622,27,116,11,26914.45,2023-01-03,116,2022-03-16,502.24,2023-01-03,5.3753,2699.690672,29696.59739,-2782.147392,TRUE
5775,16,39,8,237063,2023-01-03,39,2020-10-16,5270.87,2023-01-03,5.3753,28332.50751,226660.0601,10402.93991,FALSE
9975,16,8,15,71023.9,2023-01-03,8,2021-08-06,951.1,2023-01-03,5.3753,5112.44783,76686.71745,-5662.81745,TRUE
8172,46,72,12,1136177.2,2023-01-03,72,2018-03-09,30675.48,2023-01-03,5.3753,164889.9076,1978678.892,-842501.6917,TRUE
6966,28,74,15,1298378,2023-01-03,74,2018-12-19,22250.99,2023-01-03,5.3753,119605.7465,1794086.198,-495708.1982,TRUE
3291,13,74,10,865586,2023-01-03,74,2018-12-19,22250.99,2023-01-03,5.3753,119605.7465,1196057.465,-330471.4655,TRUE
8378,21,36,15,339021,2023-01-03,36,2022-09-26,4221.25,2023-01-03,5.3753,22690.48513,340357.2769,-1336.276875,TRUE
7226,24,26,1,17283,2023-01-03,26,2022-03-14,3412.88,2023-01-03,5.3753,18345.25386,18345.25386,-1062.253864,TRUE
1727,40,72,14,1395305,2023-01-03,72,2018-03-09,30675.48,2023-01-03,5.3753,164889.9076,2308458.707,-913153.707,TRUE
9894,1,26,15,259248,2023-01-03,26,2022-03-14,3412.88,2023-01-03,5.3753,18345.25386,275178.808,-15930.80796,TRUE
631,43,15,2,55800,2023-01-04,15,2022-12-06,5325.4,2023-01-04,5.4453,28998.40062,57996.80124,-2196.80124,TRUE
9151,49,41,5,53000,2023-01-04,41,2020-10-08,1886.32,2023-01-04,5.4453,10271.5783,51357.89148,1642.10852,FALSE
4874,6,5,1,23669,2023-01-04,5,2022-05-24,4920.79,2023-01-04,5.4453,26795.17779,26795.17779,-3126.177787,TRUE
5938,37,81,11,1276451.35,2023-01-04,81,2022-08-02,23345.09,2023-01-04,5.4453,127121.0186,1398331.204,-121879.8543,TRUE
9228,47,15,7,195298,2023-01-04,15,2022-12-06,5325.4,2023-01-04,5.4453,28998.40062,202988.8043,-7690.80434,TRUE
6768,1,11,4,144928,2023-01-04,11,2022-01-27,6733.8,2023-01-04,5.4453,36667.56114,146670.2446,-1742.24456,TRUE
3342,48,41,13,137800,2023-01-04,41,2020-10-08,1886.32,2023-01-04,5.4453,10271.5783,133530.5178,4269.482152,FALSE
6811,12,13,11,85218,2023-01-04,13,2021-10-22,1356.5,2023-01-04,5.4453,7386.54945,81252.04395,3965.95605,FALSE
472,26,56,7,285874.95,2023-01-04,56,2022-12-19,8087.59,2023-01-04,5.4453,44039.35383,308275.4768,-22400.52679,TRUE
2017,45,92,1,88854,2023-01-04,92,2022-12-12,16745.97,2023-01-04,5.4453,91186.83044,91186.83044,-2332.830441,TRUE
8343,14,20,8,234334.6,2023-01-04,20,2021-10-04,5689.04,2023-01-04,5.4453,30978.52951,247828.2361,-13493.6361,TRUE
306,12,70,6,206133,2023-01-04,70,2022-11-09,6655.06,2023-01-04,5.4453,36238.79822,217432.7893,-11299.78931,TRUE
6905,17,106,12,49987.1,2023-01-04,106,2020-12-28,837.06,2023-01-04,5.4453,4558.042818,54696.51382,-4709.413816,TRUE
9581,25,2,15,199473.4,2023-01-04,2,2022-07-06,2577.22,2023-01-04,5.4453,14033.73607,210506.041,-11032.64099,TRUE
1384,21,57,11,1306696,2023-01-04,57,2022-12-16,22497.79,2023-01-04,5.4453,122507.2159,1347579.375,-40883.37476,TRUE
7677,11,61,13,364242,2023-01-04,61,2022-11-04,5564.33,2023-01-04,5.4453,30299.44615,393892.7999,-29650.79994,TRUE
6014,26,142,10,8264,2023-01-05,142,2022-11-09,160.09,2023-01-05,5.402,864.80618,8648.0618,-384.0618,TRUE
4929,8,73,11,1496021.05,2023-01-05,73,2021-07-12,27407.95,2023-01-05,5.402,148057.7459,1628635.205,-132614.1549,TRUE
2333,3,18,6,159435,2023-01-05,18,2022-01-25,4834.43,2023-01-05,5.402,26115.59086,156693.5452,2741.45484,FALSE
2686,49,108,7,23419,2023-01-05,108,2022-06-14,653.47,2023-01-05,5.402,3530.04494,24710.31458,-1291.31458,TRUE
2113,6,121,11,40637,2023-01-05,121,2021-08-31,718.35,2023-01-05,5.402,3880.5267,42685.7937,-2048.7937,TRUE
1098,6,27,5,78429.15,2023-01-05,27,2022-07-12,3051.23,2023-01-05,5.402,16482.74446,82413.7223,-3984.5723,TRUE
6572,24,66,3,35829.25,2023-01-05,66,2021-01-05,2360.29,2023-01-05,5.402,12750.28658,38250.85974,-2421.60974,TRUE
4478,32,46,6,29903,2023-01-05,46,2022-12-02,959.01,2023-01-05,5.402,5180.57202,31083.43212,-1180.43212,TRUE
6752,24,86,15,1332704.65,2023-01-05,86,2021-08-13,17824.79,2023-01-05,5.402,96289.51558,1444342.734,-111638.0837,TRUE
1248,26,148,10,45463.2,2023-01-05,148,2022-11-10,901.95,2023-01-05,5.402,4872.3339,48723.339,-3260.139,TRUE
